experiment_id,dataset,seed,method,n_groups,purity_threshold,variant,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-anti-gb-v1-adult-s7,adult,7,knn_local_prototypes,160,0.8,matched_full,0.878,0.8820148148148149,0.8634925323701724,-0.3918240920798893,0.16,0.039460352920000955,0.5155,0.6180949241537321,0.6210635,0.2719437443424749,-0.34044977767075496,0.030630539238653394,1.6370507632667874,0.79,0.696032793719169
privacy-anti-gb-v1-adult-s7,adult,7,oracle_supervised,160,0.8,matched_full,0.909,0.9016387464387465,0.8965428250175366,-0.2787047609762811,0.16,0.03601354561995163,0.505,0.6594307395896941,0.6945025,,-0.2373578289425749,0.0282546265318612,1.5677726983721632,0.752,0.6610521596991018
privacy-anti-gb-v1-adult-s7,adult,7,random,160,0.8,matched_full,0.57,0.6786096866096867,0.5685485974819292,0.1460330569940772,0.16,0.1396964700020776,0.5055,0.5129406247901843,0.507321,-0.6434161512272504,-0.25240509686699786,0.16294874928597003,3.8540020017906462,0.729,0.6332281740312014
privacy-anti-gb-v1-adult-s7,adult,7,tree,116,0.8,matched_full,0.718,0.7742290598290599,0.7022489705416535,-0.5001739577065406,0.116,0.07406644936451773,0.5645,0.6058884501218089,0.574853,-0.3974521704845997,-0.45003758499333724,0.07696943164282931,2.557213857819508,0.763,0.712531794347429
privacy-anti-gb-v1-adult-s7,adult,7,granular_ball,238,0.9,R8_center_radius_count_purity,0.683,0.5554324786324786,0.5374146880321737,-0.2773068287036485,0.238,0.0679547088789919,0.55,0.6883920435989742,0.6886469999999999,0.1506688846851083,-0.27336032740805144,0.05341660873548732,1.975392624941309,0.805,0.6786796535013206
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical,238,0.9,matched_full,0.97,0.968291737891738,0.9660263001734923,-0.12888195147340384,0.238,0.025065283345850557,0.574,0.7651911735543075,0.7876845,0.060774974297426974,0.01657090385280546,0.019339164345009957,1.2922432468261231,0.797,0.6822161587604239
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical_average,238,0.9,matched_full,0.913,0.9049549857549858,0.8985861510646707,-0.4920633165560136,0.238,0.032703888180518316,0.547,0.6998356463999535,0.6925135,0.1795739762209773,-0.49055991204337723,0.023867456748390917,1.3836298401187006,0.785,0.6820650687109143
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical_complete,238,0.9,matched_full,0.947,0.9479361823361824,0.9401183397188273,-0.7484253347804332,0.238,0.02757267554017011,0.5315,0.7019848503052027,0.6686245,0.37591866251749456,-0.5634595027502938,0.0204537632183037,1.3285062053590582,0.808,0.7238586156111929
privacy-anti-gb-v1-adult-s7,adult,7,kmeans,238,0.9,R4_center_radius_count,0.945,0.9501994301994302,0.9385045422781272,-0.5873902369311248,0.238,0.026268598290850015,0.524,0.7726288730441967,0.8006685,0.22983715490372905,-0.6572436822257184,0.020957014292664375,1.3141799827910077,0.796,0.6859296482412061
privacy-anti-gb-v1-adult-s7,adult,7,kmeans_tuned,238,0.9,matched_full,0.945,0.9501994301994302,0.9385045422781272,-0.6448261100931668,0.238,0.026268598290850015,0.539,0.7506999146543964,0.7446860000000001,0.21429447051118913,-0.6186352982631617,0.020957014292664375,1.3141799827910077,0.796,0.6859296482412061
privacy-anti-gb-v1-adult-s7,adult,7,knn_local_prototypes,238,0.9,matched_full,0.929,0.92842849002849,0.9199035232296704,-0.3741158393185314,0.238,0.031412094063781294,0.535,0.7100668474565215,0.7384035,0.17087279855827414,-0.387776208410916,0.02395217753609901,1.4069713025686956,0.794,0.6948600207376685
privacy-anti-gb-v1-adult-s7,adult,7,oracle_supervised,238,0.9,matched_full,0.939,0.9420786324786324,0.9313921433881709,-0.37974549887265197,0.238,0.02780812343463297,0.5205,0.7088415773187469,0.6899035,,-0.38049349879596617,0.022014201290012136,1.3549721816840052,0.788,0.6838293633039235
